package,published,title,depends_count,suggests_count,tidyverse_happy,has_vignette_build,has_tests,reverse_count,dl_last_month,ci,test_coverage,forks,stars,watchers,last_commit,last_issue_closed,contributors
logging,2019-07-14,R Logging Package,1,2,FALSE,FALSE,TRUE,9,35352,NONE,,13,49,1,,,
magick,2020-11-10,Advanced Graphics and Image-Processing in R,,13,TRUE,TRUE,FALSE,43,52026,"Travis, Appveyor",NONE,60,356,21,1.43333333333333,,
manipulate,2014-12-24,Interactive Plots for RStudio,1,,,FALSE,FALSE,8,5959,,,,,,,,
mapdata,2018-03-30,Extra Map Databases,2,,,FALSE,FALSE,14,11780,,,,,,,,
mapedit,2020-02-02,Interactive Editing of Spatial Data in R,1,1,TRUE,FALSE,FALSE,3,2197,NONE,NONE,25,175,27,8.43333333333333,,
mapmisc,2020-06-24,Utilities for Producing Maps,3,6,FALSE,TRUE,FALSE,0,1091,,,,,,,,
maps,2018-04-03,Draw Geographical Maps,1,4,FALSE,FALSE,FALSE,75,84353,,,,,,,,
mapsapi,2020-12-17,'sf'-Compatible Interface to 'Google Maps' APIs,1,5,TRUE,TRUE,FALSE,0,1490,NONE,NONE,6,34,2,,,
maptools,2020-08-24,Tools for Handling Spatial Objects,2,8,FALSE,FALSE,FALSE,106,284545,,,,,,,,
mapview,2020-08-11,Interactive Viewing of Spatial Data in R,2,10,FALSE,FALSE,TRUE,5,14852,NONE,CodeCov,78,329,38,0.0666666666666667,,
MASS,2020-09-09,Support Functions and Datasets for Venables and Ripley's MASS,5,4,FALSE,FALSE,FALSE,1706,145542,,,,,,,,
MASS,2020-09-09,Support Functions and Datasets for Venables and Ripley's MASS,5,4,FALSE,FALSE,FALSE,1706,145542,,,,,,,,
metricsgraphics,2015-12-21,"Create Interactive Charts with the JavaScript 'MetricsGraphics'
Library",1,9,TRUE,TRUE,TRUE,0,949,Travis,NONE,33,129,20,35.1333333333333,,
mi,2015-04-16,Missing Data Imputation and Model Checking,4,9,FALSE,TRUE,FALSE,3,31481,,,,,,,,
missForest,2013-12-31,Nonparametric Missing Value Imputation using Random Forest,1,,,FALSE,FALSE,11,7027,NONE,,15,45,7,,,
mlr,2020-10-05,Machine Learning in R,2,95,TRUE,TRUE,TRUE,18,19746,NONE,CodeCov,388,1449,103,0.4,,
mschart,2019-11-14,"Chart Generation for 'Microsoft Word' and 'Microsoft PowerPoint'
Documents",1,2,TRUE,TRUE,FALSE,0,841,Travis,NONE,11,91,9,,,
multicolor,2020-02-03,Add Multiple Colors to your Console & RMarkdown Output,1,6,TRUE,TRUE,TRUE,0,586,"Travis, Appveyor",CodeCov,2,51,2,,,
multiROC,2018-06-26,"Calculating and Visualizing ROC and PR Curves Across Multi-Class
Classifications",,2,TRUE,FALSE,FALSE,0,618,,,,,,,,
naniar,2020-09-02,"Data Structures, Summaries, and Visualisations for Missing Data",1,13,TRUE,TRUE,TRUE,3,13690,NONE,CodeCov,43,544,17,3.73333333333333,,
naturalsort,2016-08-30,Natural Ordering,,1,,FALSE,TRUE,5,1134,NONE,,2,7,2,,,
networkD3,2017-03-18,D3 JavaScript Network Graphs from R,1,2,TRUE,FALSE,FALSE,19,13157,Travis,NONE,255,557,60,63.6333333333333,,
numform,2020-09-27,Tools to Format Numbers for Publication,1,1,FALSE,FALSE,TRUE,0,1129,,,,,,,,
outliers,2011-01-24,Tests for outliers,1,,,FALSE,FALSE,15,7356,,,,,,,,
OutliersO3,2020-04-25,Draws Overview of Outliers (O3) Plots,1,4,TRUE,TRUE,FALSE,0,540,,,,,,,,
